book_id,openlibrary_work_key,status,edition_rows,reported_size,error
BOOK00282,/works/OL58235W,success,95,95.0,
BOOK00283,/works/OL17371073W,success,1,1.0,
BOOK00284,/works/OL11789290W,success,6,6.0,
BOOK00285,/works/OL1887971W,success,23,23.0,
BOOK00286,/works/OL5506777W,success,16,16.0,
BOOK00287,/works/OL1987799W,success,25,25.0,
BOOK00288,/works/OL3266788W,success,12,12.0,
BOOK00289,/works/OL181821W,success,39,39.0,
BOOK00290,/works/OL16002869W,success,55,55.0,
BOOK00291,/works/OL510772W,success,28,28.0,
BOOK00292,/works/OL2355834W,success,7,7.0,
BOOK00293,/works/OL2024238W,success,29,29.0,
BOOK00294,/works/OL1850195W,success,43,43.0,
BOOK00295,/works/OL22785378W,success,2,2.0,
BOOK00296,/works/OL467494W,success,45,45.0,
BOOK00297,/works/OL274337W,success,37,37.0,
BOOK00298,/works/OL1982791W,success,11,11.0,
BOOK00299,/works/OL2950077W,success,13,13.0,
BOOK00300,/works/OL1826745W,success,20,20.0,
BOOK00301,/works/OL1866671W,success,37,37.0,
BOOK00302,/works/OL3232991W,success,21,21.0,
BOOK00303,/works/OL2689914W,success,5,5.0,
BOOK00304,/works/OL2000302W,success,17,17.0,
BOOK00305,/works/OL1874172W,success,34,34.0,
BOOK00306,/works/OL2669571W,success,11,11.0,
BOOK00307,/works/OL452404W,success,39,39.0,
BOOK00308,/works/OL5616271W,success,8,8.0,
BOOK00309,/works/OL102817W,success,15,15.0,
BOOK00310,/works/OL2667692W,success,18,18.0,
BOOK00311,/works/OL1839162W,success,14,14.0,
BOOK00312,/works/OL37971W,success,15,15.0,
BOOK00313,/works/OL12420780W,success,18,18.0,
BOOK00314,/works/OL2967291W,success,4,4.0,
BOOK00315,/works/OL66049W,success,15,15.0,
BOOK00316,/works/OL2688120W,success,14,14.0,
BOOK00317,/works/OL2024237W,success,20,20.0,
BOOK00318,/works/OL2634165W,success,25,25.0,
BOOK00319,/works/OL28972W,success,14,14.0,
BOOK00320,/works/OL2722532W,success,21,21.0,
BOOK00321,/works/OL24999187W,success,3,3.0,
BOOK00322,/works/OL484345W,success,28,28.0,
BOOK00323,/works/OL5616272W,success,12,12.0,
BOOK00324,/works/OL1906115W,success,12,12.0,
BOOK00325,/works/OL16962242W,success,7,7.0,
BOOK00326,/works/OL2024236W,success,28,28.0,
BOOK00327,/works/OL2701563W,success,19,19.0,
BOOK00328,/works/OL1873586W,success,21,21.0,
BOOK00329,/works/OL4467653W,success,6,6.0,
BOOK00330,/works/OL19964945W,success,25,25.0,
BOOK00331,/works/OL5274538W,success,1,1.0,
BOOK00332,/works/OL2906189W,success,6,6.0,
BOOK00333,/works/OL2629977W,success,78,78.0,
BOOK00334,/works/OL25203336W,success,4,4.0,
BOOK00335,/works/OL20592553W,success,1,1.0,
BOOK00336,/works/OL11274839W,success,9,9.0,
BOOK00337,/works/OL3278791W,success,17,17.0,
BOOK00338,/works/OL8510585W,success,5,5.0,
BOOK00339,/works/OL20473221W,success,4,4.0,
BOOK00340,/works/OL25222591W,success,6,6.0,
BOOK00341,/works/OL37590164W,success,1,1.0,
BOOK00342,/works/OL25202283W,success,7,7.0,
BOOK00343,/works/OL27936407W,success,3,3.0,
BOOK00344,/works/OL21279220W,success,6,6.0,
BOOK00345,/works/OL19294801W,success,3,3.0,
BOOK00346,/works/OL3071557W,success,2,2.0,
BOOK00347,/works/OL12180403W,success,1,1.0,
BOOK00348,/works/OL28011786W,success,4,4.0,
BOOK00349,/works/OL19591590W,success,5,5.0,
BOOK00350,/works/OL21103191W,success,6,6.0,
BOOK00351,/works/OL144815W,success,72,72.0,
BOOK00352,/works/OL9386810W,success,1,1.0,
BOOK00353,/works/OL19968825W,success,5,5.0,
BOOK00354,/works/OL34028320W,success,3,3.0,
BOOK00355,/works/OL4167373W,success,3,3.0,
BOOK00356,/works/OL28350609W,success,1,1.0,
BOOK00357,/works/OL12928780W,success,2,2.0,
BOOK00358,/works/OL20447285W,success,2,2.0,
BOOK00359,/works/OL11446124W,success,1,1.0,
BOOK00360,/works/OL21263541W,success,6,6.0,
BOOK00361,/works/OL37556783W,success,5,5.0,
BOOK00362,/works/OL25703356W,success,2,2.0,
BOOK00363,/works/OL2171777W,success,1,1.0,
BOOK00364,/works/OL5911772W,success,1,1.0,
BOOK00365,/works/OL29508738W,success,1,1.0,
BOOK00366,/works/OL7932670W,success,2,2.0,
BOOK00367,/works/OL21625234W,success,6,6.0,
BOOK00368,/works/OL38123881W,success,1,1.0,
BOOK00369,/works/OL27788517W,success,3,3.0,
BOOK00370,/works/OL21508054W,success,3,3.0,
BOOK00371,/works/OL1921779W,success,7,7.0,
BOOK00372,/works/OL36822686W,success,1,1.0,
BOOK00373,/works/OL39713124W,success,1,1.0,
BOOK00374,/works/OL274335W,success,14,14.0,
BOOK00375,/works/OL35719331W,success,1,1.0,
BOOK00376,/works/OL16132710W,success,1,1.0,
BOOK00377,/works/OL41318514W,success,1,1.0,
BOOK00378,/works/OL9681386W,success,2,2.0,
BOOK00379,/works/OL6466418W,success,2,2.0,
BOOK00380,/works/OL18489926W,success,3,3.0,
BOOK00381,/works/OL1886462W,success,24,24.0,
BOOK00382,/works/OL16152798W,success,9,9.0,
BOOK00383,/works/OL4980191W,success,1,1.0,
BOOK00384,/works/OL18795115W,success,32,32.0,
BOOK00385,/works/OL7951839W,success,30,30.0,
BOOK00386,/works/OL4799792W,success,6,6.0,
BOOK00387,/works/OL3243279W,success,29,29.0,
BOOK00388,/works/OL20761206W,success,62,62.0,
BOOK00389,/works/OL64472W,success,9,9.0,
BOOK00390,/works/OL15058505W,success,13,13.0,
BOOK00391,/works/OL1987798W,success,7,7.0,
BOOK00392,/works/OL18682718W,success,6,6.0,
BOOK00393,/works/OL15153155W,success,2,2.0,
BOOK00394,/works/OL8229244W,success,8,8.0,
BOOK00395,/works/OL16069259W,success,1,1.0,
BOOK00396,/works/OL90612W,success,19,19.0,
BOOK00397,/works/OL2740772W,success,3,3.0,
BOOK00398,/works/OL8222822W,success,2,2.0,
BOOK00399,/works/OL2945036W,success,8,8.0,
BOOK00400,/works/OL20329916W,success,6,6.0,
BOOK00401,/works/OL20762244W,success,10,10.0,
BOOK00402,/works/OL18405950W,success,13,13.0,
BOOK00403,/works/OL18330208W,success,7,7.0,
BOOK00404,/works/OL2682770W,success,3,3.0,
BOOK00405,/works/OL15457028W,success,8,8.0,
BOOK00406,/works/OL16961460W,success,1,1.0,
BOOK00407,/works/OL2982899W,success,8,8.0,
BOOK00408,/works/OL2719480W,success,5,5.0,
BOOK00409,/works/OL6039557W,success,5,5.0,
BOOK00410,/works/OL1837477W,success,6,6.0,
BOOK00411,/works/OL5843169W,success,9,9.0,
BOOK00412,/works/OL22018998W,success,3,3.0,
BOOK00413,/works/OL9332478W,success,2,2.0,
BOOK00414,/works/OL25093552W,success,9,9.0,
BOOK00415,/works/OL15640360W,success,1,1.0,
BOOK00416,/works/OL20221492W,success,16,16.0,
BOOK00417,/works/OL17737757W,success,1,1.0,
BOOK00418,/works/OL4799374W,success,13,13.0,
