scrape_id,title,subtitle,author,format_raw,isbn,publisher,publication_date_raw,cover_url,cover_alt_raw,external_book_url,release_page,release_page_url,source,scraped_at
36,Question to Learn,": How Curiosity Can Transform Your Career, Team, and Organization",Joe Lalley,"Paperback, 192 pages",9798889264835,Manuscripts LLC,"October 13, 2025",https://www.leadershipnow.com/leadershop/images/9798889264835.jpg,9798889264835,https://amzn.to/4juE5OJ,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
37,Bag Man,: The Story Behind the Improbable Rise of Coach,Lew Frankfort,"Hardcover, 304 pages",9798892790727,Harvard Business Review Press,"October 14, 2025",https://www.leadershipnow.com/leadershop/images/9798892790727.jpg,9798892790727,https://amzn.to/46mhxJS,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
38,The Long Game,: A Playbook of the World's Most Enduring Companies,Eric Becker,"Hardcover, 184 pages",9781957588322,Rodin Books,"October 14, 2025",https://www.leadershipnow.com/leadershop/images/9781957588322.jpg,9781957588322,https://amzn.to/3XZiQe0,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
39,Exceptional Experiences,: Five Luxury Levers to Elevate Every Aspect of Your Business,Neen James,"Hardcover, 200 pages",9781774586259,Page Two,"October 14, 2025",https://www.leadershipnow.com/leadershop/images/9781774586259.jpg,9781774586259,https://amzn.to/466yCZD,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
40,"Small Moves, Big Life",": 7 Daily Practices to Supercharge Your Energy, Productivity, and Happiness (in Just Minutes a Day)",Andrea Leigh Rogers,"Paperback, 256 pages",9781637747452,BenBella Books,"October 14, 2025",https://www.leadershipnow.com/leadershop/images/9781637747452.jpg,9781637747452,https://amzn.to/4paEys7,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
41,The Compass Within,: A Little Story About the Values That Guide Us,Robert Glazer,"Hardcover, 240 pages",9781464245190,Sourcebooks,"October 14, 2025",https://www.leadershipnow.com/leadershop/images/9781464245190.jpg,9781464245190,https://amzn.to/4pmpIP5,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
42,1929,: Inside the Greatest Crash in Wall Street History--and How It Shattered a Nation,Andrew Ross Sorkin,"Hardcover, 352 pages",9780593296967,Viking,"October 14, 2025",https://www.leadershipnow.com/leadershop/images/9780593296967.jpg,9780593296967,https://amzn.to/465mxDZ,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
43,The Winner's Curse,": Behavioral Economics Anomalies, Then and Now",Richard H. Thaler and Alex Imas,"Hardcover, 352 pages",9781982165116,Simon & Schuster,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9781982165116.jpg,9781982165116,https://amzn.to/3ImmUAU,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
44,Wisdom Takes Work,: Learn. Apply. Repeat. (The Stoic Virtues Series - Book 4),Ryan Holiday,"Hardcover, 400 pages",9780593191736,Portfolio,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9780593191736.jpg,9780593191736,https://amzn.to/3VjwMhL,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
45,Playful,": How Play Shifts Our Thinking, Inspires Connection, and Sparks Creativity",Cas Holman with Lydia Denworth,"Hardcover, 288 pages",9780593713402,Avery,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9780593713402.jpg,9780593713402,https://amzn.to/3HXFW0r,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
46,The Need to Lead,: A TOPGUN Instructor's Lessons on How Leadership Solves Every Challenge (Extreme Ownership Series - 3),Dave Berke / Foreword by Jocko Willink,"Hardcover, 288 pages",9781250361639,St. Martin's Press,"October 21, 2025",https://www.leadershipnow.com/leadershop/images/9781250361639.jpg,9781250361639,https://amzn.to/4nmnSfX,2025 Releases,https://www.leadershipnow.com/leadershop/new2025.html,LeadershipNow / LeaderShop,2026-09-22T15:33:26.652006+00:00
