book_id,core_recommendations,enriched_recommendations,core_mean_similarity,enriched_mean_similarity,core_rank1_similarity,enriched_rank1_similarity,top10_overlap_count,top10_overlap_ratio
BOOK01635,10,10,0.33944108445156074,0.2673610233336159,0.6497700171398244,0.571056792710685,6,0.6
BOOK01636,10,10,0.3001065791543644,0.2901094243697512,0.3918391591245193,0.4023835825562895,10,1.0
BOOK01637,10,10,0.3241121055083334,0.253391079608346,0.5040644123789706,0.3924576389293631,7,0.7
BOOK01638,10,10,0.43125499364667996,0.4029986457153055,0.5875971010009651,0.6112285170655524,8,0.8
BOOK01639,10,10,0.39893144164090744,0.36594274295230383,0.5316620182531328,0.4883326597062873,5,0.5
BOOK01640,4,6,0.4510518267412813,0.31550849260966013,0.5077549634197592,0.4789880050195998,4,0.4
BOOK01641,10,10,0.41899258763614533,0.39586260683640806,0.6379469460737098,0.6323974716104172,9,0.9
BOOK01642,10,10,0.356394224573588,0.344995185895472,0.6250266940228582,0.651598807198192,7,0.7
BOOK01643,10,10,0.32015968449025717,0.25243556643449866,0.7014275065577414,0.5439390246986388,10,1.0
BOOK01644,8,10,0.29067763635480853,0.17304022242033448,0.5172231369533349,0.30928793332475313,8,0.8
BOOK01645,10,10,0.2830624535827585,0.19674926339678556,0.4404126707568566,0.34104406473104854,4,0.4
BOOK01646,10,10,0.3898032662533607,0.3847373421731252,0.5475310385600473,0.5500134973033103,9,0.9
BOOK01647,4,4,0.410728401366691,0.36701711054320835,0.5287006974062702,0.5391909395258926,4,0.4
BOOK01648,10,10,0.4008921215362079,0.39724619761119834,0.6365749444946707,0.6638216604347316,8,0.8
BOOK01649,10,10,0.29184958251417464,0.19163629616108302,0.424778987705558,0.27330310833358223,9,0.9
BOOK01650,10,10,0.36948853133187903,0.3406449707190936,0.5014795417636917,0.5271879255592105,8,0.8
BOOK01651,10,10,0.33955859650033726,0.25317442856647077,0.6793432228881581,0.45408693694833935,8,0.8
BOOK01652,10,10,0.3467062157955259,0.3354404675073731,0.4074927634279106,0.3973343715667087,9,0.9
