book_id,known_publication_languages_display,observed_publication_language_count,has_multilingual_publication_evidence
BOOK00781,English,1,False
BOOK00782,English,1,False
BOOK00783,English,1,False
BOOK00784,English,1,False
BOOK00785,English,1,False
BOOK00786,English,1,False
BOOK00787,English,1,False
BOOK00788,English,1,False
BOOK00789,,0,False
BOOK00790,English,1,False
BOOK00791,English,1,False
BOOK00792,English,1,False
BOOK00793,English,1,False
BOOK00794,English,1,False
BOOK00795,English,1,False
BOOK00796,English,1,False
BOOK00797,English,1,False
BOOK00798,English,1,False
BOOK00799,English,1,False
BOOK00800,,0,False
BOOK00801,English,1,False
BOOK00802,English,1,False
BOOK00803,English,1,False
BOOK00804,English,1,False
BOOK00805,English,1,False
BOOK00806,English,1,False
BOOK00807,English,1,False
BOOK00808,English,1,False
BOOK00809,"French, Spanish, Germanic languages, German, English, Czech",6,True
BOOK00810,English,1,False
BOOK00811,English,1,False
BOOK00812,English,1,False
BOOK00813,English,1,False
BOOK00814,English,1,False
BOOK00815,English,1,False
BOOK00816,English,1,False
BOOK00817,English,1,False
BOOK00818,English,1,False
BOOK00819,English,1,False
BOOK00820,English,1,False
BOOK00821,English,1,False
BOOK00822,English,1,False
BOOK00823,English,1,False
BOOK00824,English,1,False
BOOK00825,"German, English, Spanish",3,True
BOOK00826,English,1,False
BOOK00827,"English, Spanish",2,True
BOOK00828,English,1,False
BOOK00829,English,1,False
BOOK00830,English,1,False
BOOK00831,English,1,False
BOOK00832,English,1,False
BOOK00833,English,1,False
BOOK00834,English,1,False
BOOK00835,English,1,False
BOOK00836,English,1,False
BOOK00837,English,1,False
BOOK00838,English,1,False
BOOK00839,English,1,False
BOOK00840,English,1,False
BOOK00841,English,1,False
BOOK00842,English,1,False
BOOK00843,English,1,False
BOOK00844,English,1,False
BOOK00845,English,1,False
BOOK00846,English,1,False
BOOK00847,English,1,False
BOOK00848,English,1,False
BOOK00849,English,1,False
BOOK00850,English,1,False
BOOK00851,English,1,False
BOOK00853,English,1,False
BOOK00854,English,1,False
BOOK00855,English,1,False
BOOK00856,"English, Spanish, Chinese",3,True
BOOK00857,English,1,False
BOOK00858,English,1,False
BOOK00859,"English, Italian, Spanish, Polish, Chinese",5,True
BOOK00860,English,1,False
BOOK00861,English,1,False
BOOK00862,English,1,False
BOOK00863,English,1,False
BOOK00864,English,1,False
BOOK00865,English,1,False
BOOK00866,English,1,False
BOOK00867,English,1,False
BOOK00868,English,1,False
BOOK00869,English,1,False
BOOK00870,English,1,False
BOOK00871,English,1,False
BOOK00872,English,1,False
BOOK00873,English,1,False
BOOK00874,English,1,False
BOOK00875,English,1,False
BOOK00876,English,1,False
BOOK00877,English,1,False
BOOK00878,English,1,False
BOOK00879,English,1,False
BOOK00880,English,1,False
BOOK00881,English,1,False
BOOK00882,English,1,False
BOOK00883,English,1,False
BOOK00884,English,1,False
BOOK00885,English,1,False
BOOK00886,English,1,False
BOOK00887,English,1,False
BOOK00888,English,1,False
BOOK00889,English,1,False
BOOK00890,English,1,False
BOOK00891,English,1,False
BOOK00892,English,1,False
BOOK00893,English,1,False
BOOK00894,English,1,False
BOOK00895,English,1,False
BOOK00896,Spanish,1,False
BOOK00897,English,1,False
BOOK00898,English,1,False
BOOK00899,English,1,False
BOOK00900,English,1,False
BOOK00901,English,1,False
BOOK00902,English,1,False
BOOK00903,English,1,False
BOOK00904,,0,False
BOOK00905,English,1,False
BOOK00906,English,1,False
BOOK00907,English,1,False
BOOK00908,English,1,False
BOOK00909,,0,False
BOOK00910,English,1,False
BOOK00911,English,1,False
BOOK00912,,0,False
BOOK00913,English,1,False
BOOK00914,English,1,False
BOOK00915,"Italian, English, Japanese",3,True
BOOK00916,English,1,False
BOOK00917,English,1,False
BOOK00918,English,1,False
BOOK00919,English,1,False
BOOK00920,English,1,False
BOOK00921,English,1,False
BOOK00922,English,1,False
BOOK00923,English,1,False
BOOK00924,English,1,False
BOOK00925,English,1,False
BOOK00926,English,1,False
BOOK00927,English,1,False
BOOK00928,English,1,False
BOOK00929,English,1,False
BOOK00930,English,1,False
BOOK00931,English,1,False
BOOK00932,"English, Chinese, Spanish",3,True
BOOK00933,English,1,False
BOOK00934,English,1,False
BOOK00935,English,1,False
BOOK00936,English,1,False
BOOK00937,English,1,False
BOOK00938,English,1,False
BOOK00939,English,1,False
BOOK00940,English,1,False
BOOK00941,English,1,False
BOOK00942,English,1,False
BOOK00943,English,1,False
BOOK00944,English,1,False
BOOK00945,English,1,False
BOOK00946,English,1,False
BOOK00947,English,1,False
BOOK00948,English,1,False
BOOK00949,English,1,False
BOOK00950,English,1,False
