query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio
BOOK00323,10,10,4,0.4
BOOK00324,10,10,3,0.3
BOOK00325,10,8,6,0.75
BOOK00326,10,10,7,0.7
BOOK00327,10,9,6,0.6666666666666666
BOOK00328,10,10,1,0.1
BOOK00329,10,10,3,0.3
BOOK00330,10,10,3,0.3
BOOK00331,10,9,5,0.5555555555555556
BOOK00332,10,10,4,0.4
BOOK00333,10,10,8,0.8
BOOK00334,10,10,1,0.1
BOOK00335,10,10,3,0.3
BOOK00336,10,10,1,0.1
BOOK00337,10,10,4,0.4
BOOK00338,10,10,3,0.3
BOOK00339,10,10,2,0.2
BOOK00340,10,10,3,0.3
BOOK00341,10,10,5,0.5
BOOK00342,10,10,7,0.7
BOOK00343,10,9,3,0.3333333333333333
BOOK00344,10,10,5,0.5
BOOK00345,10,8,2,0.25
BOOK00346,10,10,5,0.5
BOOK00347,10,10,1,0.1
BOOK00348,10,10,2,0.2
BOOK00349,10,10,3,0.3
BOOK00350,10,10,1,0.1
BOOK00351,10,10,9,0.9
BOOK00352,10,9,2,0.2222222222222222
BOOK00353,10,10,2,0.2
BOOK00354,10,10,2,0.2
BOOK00355,10,10,6,0.6
BOOK00356,10,10,5,0.5
BOOK00357,10,10,3,0.3
BOOK00358,10,10,2,0.2
BOOK00359,10,9,5,0.5555555555555556
BOOK00360,10,10,1,0.1
BOOK00361,10,10,1,0.1
BOOK00362,10,10,2,0.2
BOOK00363,10,10,8,0.8
BOOK00364,10,10,5,0.5
BOOK00365,10,10,2,0.2
BOOK00366,10,10,4,0.4
BOOK00367,10,9,6,0.6666666666666666
BOOK00368,10,10,3,0.3
BOOK00369,10,10,2,0.2
BOOK00370,10,10,7,0.7
BOOK00371,10,10,4,0.4
BOOK00372,10,9,3,0.3333333333333333
BOOK00373,10,7,2,0.2857142857142857
BOOK00374,10,9,5,0.5555555555555556
BOOK00375,10,10,4,0.4
BOOK00376,10,10,2,0.2
BOOK00377,10,10,2,0.2
BOOK00378,10,10,5,0.5
BOOK00379,10,8,5,0.625
BOOK00380,10,10,7,0.7
BOOK00381,10,10,1,0.1
BOOK00382,10,10,1,0.1
BOOK00383,10,10,1,0.1
BOOK00384,10,10,1,0.1
BOOK00385,10,10,1,0.1
BOOK00386,10,10,1,0.1
BOOK00387,10,10,1,0.1
BOOK00388,10,10,1,0.1
BOOK00389,10,10,1,0.1
BOOK00390,10,10,2,0.2
BOOK00391,10,10,1,0.1
BOOK00392,10,10,2,0.2
BOOK00393,10,10,1,0.1
BOOK00394,10,9,1,0.1111111111111111
BOOK00395,10,10,1,0.1
BOOK00396,10,10,4,0.4
BOOK00397,10,9,6,0.6666666666666666
BOOK00398,10,10,1,0.1
BOOK00399,10,10,3,0.3
BOOK00400,10,10,2,0.2
BOOK00401,10,9,1,0.1111111111111111
BOOK00402,10,10,8,0.8
BOOK00403,10,10,1,0.1
BOOK00404,10,10,1,0.1
BOOK00405,10,10,1,0.1
BOOK00406,10,10,1,0.1
BOOK00407,10,10,2,0.2
BOOK00408,10,10,1,0.1
BOOK00409,10,10,3,0.3
BOOK00410,10,10,2,0.2
BOOK00411,10,10,1,0.1
BOOK00412,10,10,1,0.1
BOOK00413,10,10,1,0.1
BOOK00414,10,9,3,0.3333333333333333
BOOK00415,10,10,1,0.1
BOOK00416,10,10,1,0.1
BOOK00417,10,10,1,0.1
BOOK00418,10,10,1,0.1
BOOK00419,10,10,1,0.1
BOOK00420,10,9,2,0.2222222222222222
BOOK00421,10,10,2,0.2
BOOK00422,10,10,2,0.2
BOOK00423,10,10,1,0.1
BOOK00424,10,10,2,0.2
BOOK00425,10,10,4,0.4
BOOK00426,10,10,3,0.3
BOOK00427,10,10,2,0.2
BOOK00428,10,10,2,0.2
BOOK00429,10,10,4,0.4
BOOK00430,10,10,2,0.2
BOOK00431,10,10,5,0.5
BOOK00432,10,10,2,0.2
BOOK00433,10,10,3,0.3
BOOK00434,10,10,3,0.3
BOOK00435,10,10,4,0.4
BOOK00436,10,10,4,0.4
BOOK00437,10,10,6,0.6
BOOK00438,10,10,2,0.2
BOOK00439,10,10,4,0.4
BOOK00440,10,10,3,0.3
BOOK00441,10,10,1,0.1
BOOK00442,10,10,6,0.6
BOOK00443,10,10,7,0.7
BOOK00444,10,10,5,0.5
BOOK00445,10,10,5,0.5
BOOK00446,10,10,2,0.2
BOOK00447,10,10,3,0.3
BOOK00448,10,10,2,0.2
BOOK00449,10,10,1,0.1
BOOK00450,10,10,3,0.3
BOOK00451,10,10,3,0.3
BOOK00452,10,10,4,0.4
BOOK00453,10,9,3,0.3333333333333333
BOOK00454,10,10,3,0.3
BOOK00455,10,10,3,0.3
BOOK00456,10,10,4,0.4
BOOK00457,10,10,4,0.4
BOOK00458,10,10,2,0.2
BOOK00459,10,10,5,0.5
BOOK00460,10,10,1,0.1
BOOK00461,10,10,1,0.1
BOOK00462,10,10,5,0.5
BOOK00463,10,10,2,0.2
BOOK00464,10,9,7,0.7777777777777778
BOOK00465,10,10,2,0.2
BOOK00466,10,10,10,1.0
BOOK00467,10,10,5,0.5
BOOK00468,10,10,6,0.6
BOOK00469,10,10,2,0.2
BOOK00470,10,10,3,0.3
BOOK00471,10,10,7,0.7
BOOK00472,10,10,1,0.1
BOOK00473,10,10,1,0.1
BOOK00474,10,10,2,0.2
BOOK00475,10,10,1,0.1
BOOK00476,10,10,1,0.1
BOOK00477,10,10,1,0.1
BOOK00478,10,10,1,0.1
BOOK00479,10,10,1,0.1
BOOK00480,10,10,2,0.2
BOOK00481,10,10,1,0.1
BOOK00482,10,10,2,0.2
BOOK00483,10,10,2,0.2
BOOK00484,10,10,1,0.1
BOOK00485,10,10,1,0.1
BOOK00486,10,10,2,0.2
BOOK00487,10,10,2,0.2
BOOK00488,10,10,1,0.1
BOOK00489,10,10,1,0.1
BOOK00490,10,10,4,0.4
BOOK00491,10,10,1,0.1
BOOK00492,10,10,1,0.1
BOOK00493,10,10,1,0.1
BOOK00494,10,10,1,0.1
BOOK00495,10,10,2,0.2
BOOK00496,10,10,1,0.1
BOOK00497,10,10,1,0.1
BOOK00498,10,8,3,0.375
BOOK00499,10,10,2,0.2
BOOK00500,10,10,3,0.3
BOOK00501,10,10,1,0.1
BOOK00502,10,10,1,0.1
BOOK00503,10,10,2,0.2
BOOK00504,10,10,1,0.1
BOOK00505,10,9,2,0.2222222222222222
BOOK00506,10,10,2,0.2
BOOK00507,10,10,2,0.2
BOOK00508,10,9,2,0.2222222222222222
BOOK00509,10,10,1,0.1
BOOK00510,10,10,2,0.2
BOOK00511,10,10,1,0.1
BOOK00512,10,10,1,0.1
BOOK00513,10,10,1,0.1
BOOK00514,10,10,4,0.4
BOOK00515,10,9,3,0.3333333333333333
BOOK00516,10,10,3,0.3
BOOK00517,10,10,2,0.2
BOOK00518,10,10,1,0.1
BOOK00519,10,10,2,0.2
BOOK00520,10,10,1,0.1
BOOK00521,10,10,1,0.1
BOOK00522,10,10,1,0.1
BOOK00523,10,10,1,0.1
BOOK00524,10,10,2,0.2
BOOK00525,10,10,4,0.4
BOOK00526,10,10,3,0.3
BOOK00527,10,10,2,0.2
BOOK00528,10,10,1,0.1
BOOK00529,10,10,3,0.3
BOOK00530,10,10,1,0.1
BOOK00531,10,10,2,0.2
BOOK00532,10,10,1,0.1
BOOK00533,10,10,1,0.1
BOOK00534,10,10,2,0.2
BOOK00535,10,10,3,0.3
BOOK00536,10,10,2,0.2
BOOK00537,10,10,1,0.1
