book_id,validated_geographic_author_count,validated_geographic_author_names,author_citizenship_evidence,author_birthplace_evidence,author_identity_evidence_tiers,author_geography_provenance
BOOK00235,1,Kent M. Keith,United States,Brooklyn,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00236,1,Robert K. Greenleaf,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00239,3,Geoff Watts | Mike Cohn | Esther Derby,United States,Anaheim | Duluth,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00240,1,Alfons Trompenaars,Kingdom of the Netherlands | France,Amsterdam,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00243,1,Larry C. Spears,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00246,1,Dirk van Dierendonck,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00248,1,Larry C. Spears,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00250,1,Holly Spence,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00256,1,James C. Hunter,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00267,1,James C. Hunter,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00281,1,Philip Kotler,United States,Chicago,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00282,2,Kenneth C. Laudon | Jane Price Laudon,,,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00283,2,Philip Kotler | Kevin Lane Keller,United States,Chicago,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00284,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00285,1,Barry Render,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00289,1,John le Carré,United Kingdom | Ireland,Poole,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00290,2,Alan B. Eisner | Seung-Hyun Lee,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00292,1,Andrew S. Grove,United States | Hungary,Budapest | United States,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00293,2,Eugene F. Brigham | Michael C. Ehrhardt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00294,2,Shane R. Premeaux | Joseph J. Martocchio,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00296,2,Thomas L. Wheelen | J. David Hunger,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00297,1,Peter F. Drucker,United States | Austria,Vienna,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00298,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00301,1,Frederick Winslow Taylor,United States,Germantown,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00302,1,Paul Hersey,United States,Brooklyn,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00304,2,Arthur A. Thompson | Alonzo J. Strickland,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00305,1,Lee J. Krajewski,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00306,2,Gareth R. Jones | Jennifer M. George,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00307,4,David A. Whetten | Kim S. Cameron | DAVID A. WHETTEN,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00308,1,Harold Koontz,United States,Findlay,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00309,1,Project Management Institute,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00311,1,David A. Aaker,United States,Fargo,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00313,1,Barton A. Weitz,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00314,1,Donald J. Bowersox,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00315,2,Kenneth H. Blanchard | Spencer Johnson,United States,Orange | Watertown,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00316,1,Robert D. Hisrich,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00317,1,Eugene F. Brigham,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00318,1,James C. Van Horne,United States,South Bend,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00319,1,James A. O'Brien,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00320,1,Barry Berman,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00322,1,Jerrold S. Greenberg,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00323,2,Harold Koontz | Cyril O'Donnell,United States,Findlay | Lincoln,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00325,4,Philip Kotler | Mairead Brady | Torben Hansen | Kevin Lane Keller,United States | Kingdom of Denmark,Chicago,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00326,1,Eugene F. Brigham,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00327,1,William Cron,United States,New Haven,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00328,1,Charles W. L. Hill,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00330,1,Harold Kerzner,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00331,1,Aaron Antonovsky,United States | Israel,Brooklyn,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00332,1,Mary Kay Ash,United States,Cypress,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00333,1,Stephen R. Covey,United States,Salt Lake City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00335,1,Anna Sutton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00336,3,Mick Marchington | Adrian Wilkinson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00337,2,Donald C. Mosley | Leon C. Megginson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00341,1,Evangelia Marinakou,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00346,1,David Farnham,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00348,2,Juani Swart | Bruce Rayton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00349,1,Pawan S. Budhwar,India,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00350,3,Ricky W. Griffin | Jean M. Phillips | Stanley M. Gully,,,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00351,1,Jack London,United States,San Francisco,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00359,1,Ian Fleming,United Kingdom,Mayfair,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00360,2,Ashish Malik | Chris Rowley,Australia,,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00371,1,Peter J. Dowling,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00374,1,Peter F. Drucker,United States | Austria,Vienna,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00375,2,Diana Dias | Carla Magalhães,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00381,3,Michael A. Hitt | Duane Ireland | R. Duane Ireland,United States,Lima,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00382,1,Frank T. Rothaermel,United States,Butzbach,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00383,1,R. Edward Freeman,United States,Columbus,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00386,1,Edward McDonnell,Ireland,Dublin,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00387,1,Jay B. Barney,United States,Walnut Creek,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00388,1,Jeffrey H. Dyer,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00390,1,Gareth R. Jones,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00392,1,Melissa A. Schilling,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00394,2,Garth Saloner | Joel Podolny,United States,United States,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00395,1,Garth Saloner,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00396,2,Alan M. Rugman | Richard M. Hodgetts,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00399,1,Philippe Lasserre,,Bordeaux,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00400,3,Charles W. L. Hill | Gareth R. Jones | Melissa A. Schilling,,,identifier_verified | strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00402,2,Peter M. Ginter | Linda E. Swayne,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00403,2,David Williamson | Wyn Jenkins,Australia,Melbourne,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00405,1,Allen C. Amason,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00406,2,John L. Thompson | Frank Martin,Switzerland,Geneva,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00407,2,W. Edward Stead | Jean Garner Stead,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00414,2,W. Edward Stead | Jean Garner Stead,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00416,1,Harry Sminia,,Amsterdam,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00419,1,R. Edward Freeman,United States,Columbus,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00421,2,J. David Hunger | Thomas L. Wheelen,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00422,3,Kamel Mellahi | Jedrzej George Frynas | Paul Finlay,United Kingdom,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00423,1,Richard L. Lynch,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00426,1,Robert Sullivan,New Zealand,Auckland,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00430,1,Esther Cameron,Israel | United States,New York City,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00431,1,Darren McCabe,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00432,2,Klaus Doppler | Christoph Lauterburg,Germany,Zeiskam,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00433,1,Esther Cameron,Israel | United States,New York City,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00436,1,Esther Cameron,Israel | United States,New York City,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00437,2,Todd Jick | Todd D. Jick,,,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00438,1,Jeff Hiatt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00440,1,James McCalman,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00442,2,Wouter ten Have | Steven ten Have,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00447,1,Dean Anderson,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00448,1,Bernard Burnes,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00449,1,August-Wilhelm Scheer,Germany,Lübbecke,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00450,1,Frank Voehl,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00452,1,Steven ten Have,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00454,1,Marcus Gonçalves,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00457,1,Annabel C. Beerel,,Johannesburg,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00458,2,Mahmoud Ezzamel | Chris Green,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00459,2,Joseph Tidd | Keith Pavitt,United Kingdom,London,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00461,1,Dietmar Vahs,Germany,Munich | Germany,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00464,1,Elizabeth A. Cudney,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00465,1,David Miller,United States,Paterson,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00466,1,Chip Heath,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00467,1,John P. Kotter,United States,San Diego,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00471,2,Jason Fried | David Heinemeier Hansson,Kingdom of Denmark,Copenhagen,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00472,2,Everett E. Adam | Ronald J. Ebert,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00473,1,Richard B. Chase,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00476,1,Joseph G. Monks,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00479,1,Gregory Frazier,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00480,2,Jack R. Meredith | Scott M. Shafer,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00484,1,Barry Render,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00486,1,Nigel Slack,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00491,1,R. Panneerselvam,India,Tiruchengode,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00492,1,Joseph G. Monks,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00494,1,Elwood Spencer Buffa,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00495,1,David K. Hayes,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00496,1,Ray Wild,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00497,2,Mark M. Davis | Richard B. Chase,United States,Paris,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00498,1,David K. Hayes,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00499,1,James B. Dilworth,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00501,1,Richard J. Schonberger,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00504,3,Lee J. Krajewski | Larry P. Ritzman | Manoj K. Malhotra,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00505,1,Nada R. Sanders,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00508,2,Barry Render | Chuck Munson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00510,1,Nigel Slack,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00511,1,James B. Dilworth,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00514,1,Jim Kilby,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00516,1,Conrad Lashley,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00517,1,Philip Gibson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
