book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00103,1940,1,['nyu'],1,['New York'],1,['Bureau of business practice'],1,single_country_evidence
BOOK00104,1967,7,"['xxk', 'enk', 'nyu']",3,"['London', 'New York', 'New York, NY']",3,"['Harper & Row', 'HARPER & ROW', 'HarperCollins Publishers', 'Harpercollins Publisher', 'Heinemann']",5,multiple_country_evidence
BOOK00105,2004,1,[],0,[],0,['Allyn & Bacon'],1,no_geographic_evidence
BOOK00106,2014,4,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00107,2012,1,['vtu'],1,"['Burlington, VT']",1,['Gower'],1,single_country_evidence
BOOK00108,2020,2,[],0,[],0,"['Executive Leadership Council, The']",1,no_geographic_evidence
BOOK00109,1949,2,[],0,[],0,['Harvard University Press'],1,no_geographic_evidence
BOOK00110,1969,3,['inu'],1,['Indianapolis'],1,"['Bobbs-Merrill', 'Bobbs-Merrill Co']",2,single_country_evidence
BOOK00111,1970,3,[],0,[],0,['Rand McNally'],1,no_geographic_evidence
BOOK00112,1956,1,['dcu'],1,['Washington'],1,['George Wasington University Book Store'],1,single_country_evidence
BOOK00113,1950,2,"['xxk', 'nyu']",2,['New York'],1,['McGraw-Hill'],1,multiple_country_evidence
BOOK00114,1949,1,['mau'],1,['Cambridge'],1,['Harvard University Press'],1,single_country_evidence
BOOK00115,1969,2,['pau'],1,"['Wayne, Pa']",1,['[Management Development Institute'],1,single_country_evidence
BOOK00116,1990,1,['xx'],1,[],0,[],0,single_country_evidence
BOOK00117,2015,2,[],0,[],0,['CreateSpace Independent Publishing Platform'],1,no_geographic_evidence
BOOK00118,1964,1,['xx'],1,[],0,"['College of Commerce and Administration, Ohio State University']",1,single_country_evidence
BOOK00119,1991,1,['pau'],1,"['Pittsburgh, Pa']",1,['University of Pittsburgh Press'],1,single_country_evidence
BOOK00120,2014,1,['xna'],1,"['North Sydney, N.S.W']",1,['Armstrong!'],1,single_country_evidence
BOOK00121,1960,1,['dcu'],1,['Washington'],1,['University Press'],1,single_country_evidence
BOOK00122,2024,1,[],0,[],0,['On Executive Leadership'],1,no_geographic_evidence
BOOK00124,1971,1,['xxk'],1,['London'],1,['Intertext Training Services Ltd'],1,single_country_evidence
BOOK00125,2010,1,[],0,[],0,['Routledge'],1,no_geographic_evidence
BOOK00126,2000,1,['txu'],1,"['Houston, TX']",1,['Cashman Dudley'],1,single_country_evidence
BOOK00127,1991,1,[],0,[],0,"['Wiley & Sons, Incorporated, John']",1,no_geographic_evidence
BOOK00128,1996,1,[],0,[],0,['Wisdom Publishing Co'],1,no_geographic_evidence
BOOK00129,1990,1,[],0,[],0,"['Stipes Publishing, LLC']",1,no_geographic_evidence
BOOK00130,2004,1,[],0,[],0,['Palgrave Macmillan'],1,no_geographic_evidence
