edition_id,book_id,scrape_id,isbn_source,isbn_normalized,isbn_13,isbn_status,publisher,publication_date,publication_year,format,page_count,edition_note,cover_url,external_book_url,source_metadata_conflict
EDITION00936,BOOK01883,961,9781956072044,9781956072044,9781956072044,Valid ISBN-13,Brain Trust Ink,2022-07-12,2022,Hardcover,312.0,,https://www.leadershipnow.com/leadershop/images/9781956072044.jpg,https://amzn.to/3LDFSzl,False
EDITION00937,BOOK01884,1034,9781956450163,9781956450163,9781956450163,Valid ISBN-13,Armin Lear Press,2022-04-05,2022,Paperback,236.0,,https://www.leadershipnow.com/leadershop/images/9781956450163.jpg,https://amzn.to/3J9ulG1,False
EDITION00938,BOOK01885,225,9781957077796,9781957077796,9781957077796,Valid ISBN-13,Sean McMann,2025-01-01,2025,Paperback,146.0,,https://www.leadershipnow.com/leadershop/images/9781957077796.jpg,https://amzn.to/40idhbz,False
EDITION00939,BOOK01886,153,9781957157863,9781957157863,9781957157863,Valid ISBN-13,Association for Talent Development,2025-04-01,2025,Paperback,256.0,,https://www.leadershipnow.com/leadershop/images/9781957157863.jpg,https://amzn.to/4iFrA1a,False
EDITION00940,BOOK01887,1026,9781957369044,9781957369044,9781957369044,Valid ISBN-13,Inspire,2022-05-24,2022,Hardcover,216.0,,https://www.leadershipnow.com/leadershop/images/9781957369044.jpg,https://amzn.to/38412s2,False
EDITION00941,BOOK01888,856,9781957588100,9781957588100,9781957588100,Valid ISBN-13,Rodin Books,2022-11-01,2022,Hardcover,376.0,,https://www.leadershipnow.com/leadershop/images/9781957588100.jpg,https://amzn.to/3MGmhyX,False
EDITION00942,BOOK01889,38,9781957588322,9781957588322,9781957588322,Valid ISBN-13,Rodin Books,2025-10-14,2025,Hardcover,184.0,,https://www.leadershipnow.com/leadershop/images/9781957588322.jpg,https://amzn.to/3XZiQe0,False
EDITION00943,BOOK01890,834,9781957616049,9781957616049,9781957616049,Valid ISBN-13,Fedd Books,2023-01-30,2023,Hardcover,328.0,,https://www.leadershipnow.com/leadershop/images/9781957616049.jpg,https://amzn.to/3X71Hwx,False
EDITION00944,BOOK01891,341,9781957616858,9781957616858,9781957616858,Valid ISBN-13,Fedd Books,2024-09-17,2024,Paperback,192.0,,https://www.leadershipnow.com/leadershop/images/9781957616858.jpg,https://amzn.to/3Z0AX5c,False
EDITION00945,BOOK01892,869,9781958682241,9781958682241,9781958682241,Valid ISBN-13,All Seasons Press,2022-11-15,2022,Hardcover,276.0,,https://www.leadershipnow.com/leadershop/images/9781958682241.jpg,https://amzn.to/3TFA4tb,False
EDITION00946,BOOK01893,54,9781959000600,9781959000600,9781959000600,Valid ISBN-13,West Virginia University Press,2025-09-01,2025,Hardcover,210.0,,https://www.leadershipnow.com/leadershop/images/9781959000600.jpg,https://amzn.to/43AIR5U,False
EDITION00947,BOOK01894,331,9781960178169,9781960178169,9781960178169,Valid ISBN-13,BiggerPockets,2024-09-10,2024,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9781960178169.jpg,https://amzn.to/471G0Ek,False
EDITION00948,BOOK01895,527,9781960870100,9781960870100,9781960870100,Valid ISBN-13,XO Publishing,2024-01-16,2024,Paperback,208.0,,https://www.leadershipnow.com/leadershop/images/9781960870100.jpg,https://amzn.to/3NCu0Rb,False
EDITION00949,BOOK01896,174,9781964934327,9781964934327,9781964934327,Valid ISBN-13,Ballast Books,2025-04-29,2025,Hardcover,308.0,,https://www.leadershipnow.com/leadershop/images/9781964934327.jpg,https://amzn.to/4iFuUd1,False
EDITION00950,BOOK01897,953,9781982107406,9781982107406,9781982107406,Valid ISBN-13,Simon & Schuster,2022-08-30,2022,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9781982107406.jpg,https://amzn.to/3LAhX3U,False
EDITION00951,BOOK01898,418,9781982120597,9781982120597,9781982120597,Valid ISBN-13,Simon & Schuster,2024-05-07,2024,Hardcover,624.0,,https://www.leadershipnow.com/leadershop/images/9781982120597.jpg,https://amzn.to/3Ug7yQn,False
EDITION00952,BOOK01899,684,9781982122553,9781982122553,9781982122553,Valid ISBN-13,Gallery Books,2023-06-06,2023,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9781982122553.jpg,https://amzn.to/469ldOu,False
EDITION00953,BOOK01900,1082,9781982139162,9781982139162,9781982139162,Valid ISBN-13,Avid Reader Press,2022-02-15,2022,Hardcover,832.0,,https://www.leadershipnow.com/leadershop/images/9781982139162.jpg,https://amzn.to/3t4RmVw,False
EDITION00954,BOOK01901,926,9781982140748,9781982140748,9781982140748,Valid ISBN-13,Simon & Schuster/Threshold Editions,2022-09-20,2022,Hardcover,352.0,,https://www.leadershipnow.com/leadershop/images/9781982140748.jpg,https://amzn.to/3B4Z3O4,False
EDITION00955,BOOK01902,1033,9781982143725,9781982143725,9781982143725,Valid ISBN-13,Simon & Schuster,2022-04-05,2022,Hardcover,368.0,,https://www.leadershipnow.com/leadershop/images/9781982143725.jpg,https://amzn.to/3Kw3FQM,False
EDITION00956,BOOK01903,109,9781982146191,9781982146191,9781982146191,Valid ISBN-13,Threshold Editions,2025-07-29,2025,Hardcover,208.0,,https://www.leadershipnow.com/leadershop/images/9781982146191.jpg,https://amzn.to/45TMWDf,False
EDITION00957,BOOK01904,821,9781982159764,9781982159764,9781982159764,Valid ISBN-13,Atria Books,2023-01-17,2023,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9781982159764.jpg,https://amzn.to/3v5wkX3,False
EDITION00958,BOOK01905,43,9781982165116,9781982165116,9781982165116,Valid ISBN-13,Simon & Schuster,2025-10-21,2025,Hardcover,352.0,,https://www.leadershipnow.com/leadershop/images/9781982165116.jpg,https://amzn.to/3ImmUAU,False
EDITION00959,BOOK01906,1105,9781982165444,9781982165444,9781982165444,Valid ISBN-13,Avid Reader Press / Simon & Schuster,2022-01-11,2022,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9781982165444.jpg,https://amzn.to/3s9Ol4n,False
EDITION00960,BOOK01907,1017,9781982167509,9781982167509,9781982167509,Valid ISBN-13,Simon & Schuster,2022-05-17,2022,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9781982167509.jpg,https://amzn.to/3LvadQx,False
EDITION00961,BOOK01908,892,9781982168216,9781982168216,9781982168216,Valid ISBN-13,Avid Reader Press / Simon & Schuster,2022-10-11,2022,Hardcover,432.0,,https://www.leadershipnow.com/leadershop/images/9781982168216.jpg,https://amzn.to/3StupW8,False
EDITION00962,BOOK01909,476,9781982172749,9781982172749,9781982172749,Valid ISBN-13,Simon & Schuster,2024-03-12,2024,Hardcover,352.0,,https://www.leadershipnow.com/leadershop/images/9781982172749.jpg,https://amzn.to/48zooPq,False
EDITION00963,BOOK01910,889,9781982174279,9781982174279,9781982174279,Valid ISBN-13,S&S/Simon Element,2022-10-11,2022,Hardcover,352.0,,https://www.leadershipnow.com/leadershop/images/9781982174279.jpg,https://amzn.to/3tTGXMI,False
EDITION00964,BOOK01911,1058,9781982179670,9781982179670,9781982179670,Valid ISBN-13,Scribner,2022-03-15,2022,Hardcover,384.0,,https://www.leadershipnow.com/leadershop/images/9781982179670.jpg,https://amzn.to/3srJspD,False
EDITION00965,BOOK01912,610,9781982181284,9781982181284,9781982181284,Valid ISBN-13,Simon & Schuster,2023-09-12,2023,Hardcover,688.0,,https://www.leadershipnow.com/leadershop/images/9781982181284.jpg,https://amzn.to/3MFKLK7,False
EDITION00966,BOOK01913,771,9781982182960,9781982182960,9781982182960,Valid ISBN-13,Simon & Schuster,2023-03-16,2023,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9781982182960.jpg,https://amzn.to/3Ie2zKN,False
EDITION00967,BOOK01914,689,9781982191009,9781982191009,9781982191009,Valid ISBN-13,Atria Books,2023-06-13,2023,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9781982191009.jpg,https://amzn.to/3qdn7wS,False
EDITION00968,BOOK01915,602,9781982195069,9781982195069,9781982195069,Valid ISBN-13,Atria Books,2023-09-05,2023,Hardcover,368.0,,https://www.leadershipnow.com/leadershop/images/9781982195069.jpg,https://amzn.to/3OL5YEZ,False
EDITION00969,BOOK01916,929,9781982195472,9781982195472,9781982195472,Valid ISBN-13,Simon & Schuster,2022-09-27,2022,Hardcover,304.0,,https://www.leadershipnow.com/leadershop/images/9781982195472.jpg,https://amzn.to/3vXBxQY,False
EDITION00970,BOOK01917,1038,9781984822642,9781984822642,9781984822642,Valid ISBN-13,Currency,2022-04-12,2022,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9781984822642.jpg,https://amzn.to/3muhANJ,False
EDITION00971,BOOK01918,1071,9781984854339,9781984854339,9781984854339,Valid ISBN-13,Random House,2022-02-01,2022,Hardcover,304.0,,https://www.leadershipnow.com/leadershop/images/9781984854339.jpg,https://amzn.to/3o0JmSN,False
EDITION00972,BOOK01919,68,9781984855749,9781984855749,9781984855749,Valid ISBN-13,Random House,2025-09-23,2025,Hardcover,448.0,,https://www.leadershipnow.com/leadershop/images/9781984855749.jpg,https://amzn.to/4lC5dL7,False
EDITION00973,BOOK01920,566,9781984858122,9781984858122,9781984858122,Valid ISBN-13,Ten Speed Press,2023-11-28,2023,Paperback,144.0,,https://www.leadershipnow.com/leadershop/images/9781984858122.jpg,https://amzn.to/45zOkJ8,False
EDITION00974,BOOK01921,402,9781984858184,9781984858184,9781984858184,Valid ISBN-13,Ten Speed Press,2024-06-18,2024,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9781984858184.jpg,https://amzn.to/4fRMHLT,False
EDITION00975,BOOK01922,717,9781984878281,9781984878281,9781984878281,Valid ISBN-13,Viking,2023-05-16,2023,Hardcover,368.0,,https://www.leadershipnow.com/leadershop/images/9781984878281.jpg,https://amzn.to/3TqCvQX,False
EDITION00976,BOOK01923,801,9781984879424,9781984879424,9781984879424,Valid ISBN-13,Penguin Press,2023-02-14,2023,Hardcover,416.0,,https://www.leadershipnow.com/leadershop/images/9781984879424.jpg,https://amzn.to/3AttNtq,False
EDITION00977,BOOK01924,1109,9781988025766,9781988025766,9781988025766,Valid ISBN-13,Barlow Publishing,2022-01-12,2022,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9781988025766.jpg,https://amzn.to/3rZg7Tf,False
EDITION00978,BOOK01925,546,9783031363054,9783031363054,9783031363054,Valid ISBN-13,Palgrave Macmillan,2023-12-20,2023,Hardcover,204.0,,https://www.leadershipnow.com/leadershop/images/9783031363054.jpg,https://amzn.to/49wY5ef,False
EDITION00979,BOOK01926,89,9783031897627,9783031897627,9783031897627,Valid ISBN-13,Palgrave Macmillan,2025-08-23,2025,Paperback,402.0,,https://www.leadershipnow.com/leadershop/images/9783031897627.jpg,https://amzn.to/43mTpa0,False
EDITION00980,BOOK01927,879,978385546232,978385546232,978385546232,Invalid length,Doubleday,2022-10-04,2022,Hardcover,368.0,,https://www.leadershipnow.com/leadershop/images/978385546232.jpg,https://amzn.to/3QHTdK0,False
EDITION00981,BOOK01928,584,9783967391763,9783967391763,9783967391763,Valid ISBN-13,Gabal Verlag Gmbh,2023-10-10,2023,Paperback,216.0,,https://www.leadershipnow.com/leadershop/images/9783967391763.jpg,https://amzn.to/3RYhE8Z,False
