book_id,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count
BOOK00486,4.0,1.0,3.0,26.0,2.0,1.0
BOOK00487,,,15.0,9.0,1.0,0.0
BOOK00488,4.5,2.0,3.0,14.0,1.0,2.0
BOOK00489,,,3.0,14.0,0.0,0.0
BOOK00490,,,21.0,7.0,0.0,0.0
BOOK00491,1.0,1.0,3.0,13.0,1.0,1.0
BOOK00492,,,2.0,11.0,2.0,0.0
BOOK00493,,,4.0,9.0,1.0,0.0
BOOK00494,,,4.0,8.0,2.0,0.0
BOOK00495,,,3.0,10.0,1.0,0.0
BOOK00496,1.0,1.0,10.0,6.0,0.0,0.0
BOOK00497,5.0,1.0,5.0,7.0,1.0,0.0
BOOK00498,,,2.0,11.0,2.0,0.0
BOOK00499,,,7.0,9.0,0.0,0.0
BOOK00500,,,9.0,6.0,0.0,0.0
BOOK00501,5.0,1.0,11.0,2.0,0.0,1.0
BOOK00502,,,4.0,8.0,1.0,1.0
BOOK00503,,,6.0,7.0,0.0,0.0
BOOK00504,,,16.0,4.0,1.0,0.0
BOOK00505,,,12.0,4.0,0.0,0.0
BOOK00506,,,3.0,6.0,0.0,0.0
BOOK00507,,,1.0,13.0,0.0,0.0
BOOK00508,,,10.0,6.0,0.0,0.0
BOOK00509,1.0,1.0,2.0,7.0,0.0,1.0
BOOK00510,,,4.0,8.0,1.0,0.0
BOOK00511,,,10.0,4.0,0.0,0.0
BOOK00512,5.0,1.0,8.0,4.0,0.0,1.0
BOOK00513,,,5.0,4.0,0.0,0.0
BOOK00514,,,7.0,3.0,0.0,0.0
BOOK00515,,,1.0,23.0,0.0,0.0
BOOK00516,,,8.0,5.0,0.0,0.0
BOOK00517,,,18.0,1.0,0.0,0.0
BOOK00518,,,1.0,10.0,0.0,0.0
BOOK00519,,,21.0,56.0,2.0,0.0
BOOK00520,5.0,1.0,11.0,24.0,2.0,3.0
BOOK00521,,,26.0,62.0,4.0,2.0
BOOK00522,3.0,1.0,2.0,61.0,4.0,1.0
BOOK00523,,,19.0,25.0,3.0,0.0
BOOK00524,,,1.0,55.0,7.0,0.0
BOOK00525,5.0,1.0,1.0,64.0,1.0,2.0
BOOK00526,0.0,0.0,14.0,22.0,0.0,0.0
BOOK00527,5.0,1.0,6.0,32.0,2.0,0.0
BOOK00528,,,19.0,15.0,1.0,0.0
BOOK00529,,,4.0,42.0,2.0,0.0
BOOK00530,5.0,1.0,13.0,19.0,1.0,2.0
BOOK00531,4.0,1.0,4.0,26.0,1.0,1.0
BOOK00532,,,6.0,28.0,1.0,0.0
BOOK00533,,,23.0,13.0,0.0,0.0
BOOK00534,5.0,1.0,1.0,35.0,5.0,3.0
BOOK00535,,,30.0,15.0,1.0,0.0
BOOK00536,,,5.0,25.0,4.0,0.0
BOOK00537,5.0,1.0,9.0,16.0,0.0,1.0
BOOK00538,5.0,1.0,10.0,15.0,1.0,1.0
BOOK00539,,,4.0,15.0,1.0,0.0
BOOK00540,,,7.0,11.0,1.0,0.0
BOOK00541,,,11.0,13.0,0.0,0.0
BOOK00542,,,18.0,19.0,2.0,0.0
BOOK00543,5.0,1.0,1.0,22.0,3.0,3.0
BOOK00544,,,3.0,15.0,2.0,0.0
BOOK00545,,,6.0,16.0,2.0,1.0
BOOK00546,,,15.0,6.0,0.0,0.0
BOOK00547,,,3.0,16.0,1.0,0.0
BOOK00548,,,4.0,9.0,2.0,0.0
BOOK00549,,,3.0,15.0,2.0,0.0
BOOK00550,,,7.0,11.0,0.0,0.0
BOOK00551,,,14.0,8.0,0.0,1.0
BOOK00552,,,5.0,9.0,0.0,1.0
BOOK00553,,,15.0,5.0,0.0,0.0
BOOK00554,,,14.0,12.0,0.0,0.0
BOOK00555,,,2.0,10.0,0.0,0.0
BOOK00556,,,3.0,8.0,1.0,1.0
BOOK00557,3.0,1.0,2.0,15.0,1.0,1.0
BOOK00558,1.0,1.0,3.0,7.0,1.0,2.0
